stroke_time:sql;stroke_lat:d;stroke_lon:d;stroke_current:kA
2022-11-12T00:01:50Z;1.81190;-67.04850;-999
2022-11-12T00:01:51Z;14.91040;-49.72460;-999
2022-11-12T00:01:52Z;-17.46250;-57.83390;-999
2022-11-12T00:01:52Z;-14.62760;-53.84710;-999
2022-11-12T00:01:53Z;-14.60550;-53.41880;-999
2022-11-12T00:01:56Z;-12.56030;-52.87600;-999
2022-11-12T00:01:57Z;-3.82390;-60.28540;-999
2022-11-12T00:01:57Z;10.01210;-65.21230;-999
2022-11-12T00:01:58Z;-11.47900;-55.14520;-999
2022-11-12T00:02:02Z;-17.97640;-44.80410;-999
2022-11-12T00:02:03Z;-18.50900;-44.46900;-999
2022-11-12T00:02:05Z;-11.55610;-49.32480;-999
2022-11-12T00:02:06Z;-2.90980;-69.24490;-999
2022-11-12T00:02:06Z;-2.31280;-68.91570;-999
2022-11-12T00:02:08Z;-3.68790;-68.33760;-999
2022-11-12T00:02:09Z;-5.99880;-45.98070;-999
2022-11-12T00:02:10Z;-10.81660;-49.91280;-999
2022-11-12T00:02:11Z;-28.49360;-64.75920;-999
2022-11-12T00:02:14Z;6.65420;-64.38390;-999
2022-11-12T00:02:15Z;11.47740;-73.46760;-999
2022-11-12T00:02:15Z;11.48870;-73.43400;-999
2022-11-12T00:02:15Z;11.15580;-73.65190;-999
2022-11-12T00:02:16Z;-3.71150;-68.64990;-999
2022-11-12T00:02:16Z;-3.85670;-68.73690;-999
2022-11-12T00:02:17Z;-0.91900;-70.83540;-999
2022-11-12T00:02:17Z;-3.94260;-68.85700;-999
2022-11-12T00:02:17Z;-12.26070;-48.32390;-999
2022-11-12T00:02:17Z;-12.23290;-48.33080;-999
2022-11-12T00:02:18Z;-12.54650;-48.45210;-999
2022-11-12T00:02:20Z;-20.91900;-42.69330;-999
2022-11-12T00:02:20Z;-0.46280;-68.41960;-999
2022-11-12T00:02:23Z;-26.56580;-65.10430;-999
2022-11-12T00:02:26Z;-13.68170;-57.23530;-999
2022-11-12T00:02:27Z;5.98750;-66.07250;-999
2022-11-12T00:02:29Z;-4.18670;-69.72050;-999
2022-11-12T00:02:29Z;13.36970;-46.91560;-999
2022-11-12T00:02:30Z;-35.11960;-66.98530;-999
2022-11-12T00:02:33Z;14.88240;-49.76960;-999
2022-11-12T00:02:33Z;-13.02840;-52.59970;-999
2022-11-12T00:02:34Z;14.70900;-49.86660;-999
2022-11-12T00:02:34Z;-7.93160;-48.90370;-999
2022-11-12T00:02:35Z;7.71910;-65.45550;-999
2022-11-12T00:02:36Z;-8.04060;-67.18260;-999
2022-11-12T00:02:38Z;-21.60430;-42.90340;-999
2022-11-12T00:02:39Z;-10.85240;-51.39740;-999
2022-11-12T00:02:43Z;4.49670;-53.93780;-999
2022-11-12T00:02:43Z;-14.33390;-54.69600;-999
2022-11-12T00:02:45Z;10.31120;-73.51650;-999
2022-11-12T00:02:46Z;-13.02060;-50.39190;-999
2022-11-12T00:02:47Z;9.76820;-64.39670;-999
2022-11-12T00:02:48Z;-11.76450;-51.86040;-999
2022-11-12T00:02:48Z;-15.76160;-65.36040;-999
2022-11-12T00:02:49Z;-39.38840;-58.22790;-999
2022-11-12T00:02:51Z;-12.08350;-46.52830;-999
2022-11-12T00:02:54Z;-13.08510;-46.24190;-999
2022-11-12T00:02:54Z;-11.99140;-55.41090;-999
2022-11-12T00:02:55Z;7.69820;-75.47490;-999
2022-11-12T00:02:56Z;-2.27800;-68.84360;-999
2022-11-12T00:02:57Z;8.18200;-65.69750;-999
2022-11-12T00:02:57Z;-10.99380;-54.62850;-999
2022-11-12T00:02:57Z;7.91700;-65.98910;-999
2022-11-12T00:02:58Z;-13.20560;-52.67010;-999
2022-11-12T00:02:59Z;-22.84310;-43.45260;-999
2022-11-12T00:03:00Z;12.09440;-83.64350;-999
2022-11-12T00:03:00Z;-4.00150;-68.89390;-999
2022-11-12T00:03:01Z;-10.11310;-49.41790;-999
2022-11-12T00:03:04Z;-3.57530;-60.22340;-999
2022-11-12T00:03:05Z;7.27980;-20.26560;-999
2022-11-12T00:03:06Z;-11.56030;-51.71700;-999
2022-11-12T00:03:08Z;-2.14710;-68.73550;-999
2022-11-12T00:03:08Z;-4.46660;-72.34680;-999
2022-11-12T00:03:09Z;-13.19200;-46.51400;-999
2022-11-12T00:03:09Z;-34.49810;-65.89980;-999
2022-11-12T00:03:10Z;-11.50190;-55.13870;-999
2022-11-12T00:03:10Z;-12.04550;-49.45190;-999
2022-11-12T00:03:11Z;-11.15040;-49.04310;-999
2022-11-12T00:03:11Z;-10.23780;-48.43900;-999
2022-11-12T00:03:12Z;11.47630;-73.41870;-999
2022-11-12T00:03:12Z;11.48980;-73.44710;-999
2022-11-12T00:03:13Z;12.01760;-73.10880;-999
2022-11-12T00:03:13Z;-11.57390;-50.14950;-999
2022-11-12T00:03:14Z;-12.99400;-49.26070;-999
2022-11-12T00:03:14Z;-13.25520;-49.35400;-999
2022-11-12T00:03:14Z;-35.59960;-67.88300;-999
2022-11-12T00:03:14Z;-22.73230;-44.54570;-999
2022-11-12T00:03:15Z;3.19550;-67.73070;-999
2022-11-12T00:03:23Z;-4.68480;-69.99050;-999
2022-11-12T00:03:30Z;-2.40600;-59.27430;-999
2022-11-12T00:03:32Z;-33.47430;-66.67390;-999
2022-11-12T00:03:33Z;-34.01060;-64.65200;-999
2022-11-12T00:03:33Z;-13.46070;-52.84120;-999
2022-11-12T00:03:34Z;-4.79380;-70.18540;-999
2022-11-12T00:03:35Z;-10.48200;-48.48620;-999
2022-11-12T00:03:35Z;-12.16180;-49.69480;-999
2022-11-12T00:03:35Z;5.85950;-64.76250;-999
2022-11-12T00:03:36Z;-2.04250;-68.71800;-999
2022-11-12T00:03:36Z;-39.78060;-59.05850;-999
2022-11-12T00:03:36Z;-25.77820;-64.27120;-999
2022-11-12T00:03:37Z;7.68800;-62.75610;-999
2022-11-12T00:03:37Z;-4.52940;-68.87010;-999
2022-11-12T00:03:37Z;-3.94180;-68.56650;-999
2022-11-12T00:03:39Z;-12.40590;-63.88090;-999
2022-11-12T00:03:40Z;-1.82930;-68.94620;-999
2022-11-12T00:03:41Z;6.39830;-62.48740;-999
2022-11-12T00:03:41Z;6.43090;-62.46520;-999
2022-11-12T00:03:42Z;7.90070;-65.28230;-999
2022-11-12T00:03:43Z;-27.93400;-66.02220;-999
2022-11-12T00:03:43Z;-28.63350;-67.01840;-999
2022-11-12T00:03:43Z;-3.97600;-68.91420;-999
2022-11-12T00:03:43Z;-4.52540;-69.17790;-999
2022-11-12T00:03:43Z;-4.18700;-69.74670;-999
2022-11-12T00:03:44Z;-3.22670;-59.97990;-999
2022-11-12T00:03:44Z;-3.77350;-60.30500;-999
2022-11-12T00:03:46Z;-22.41780;-43.59540;-999
2022-11-12T00:03:51Z;6.56850;-63.89340;-999
2022-11-12T00:03:52Z;7.02450;-64.45930;-999
2022-11-12T00:03:53Z;13.06450;-47.45640;-999
2022-11-12T00:03:53Z;13.13770;-47.42930;-999
2022-11-12T00:03:53Z;14.39930;-85.52480;-999
2022-11-12T00:03:55Z;-6.51140;-48.23420;-999
2022-11-12T00:03:56Z;-3.81640;-60.32750;-999
2022-11-12T00:03:56Z;-32.74750;-65.76420;-999
2022-11-12T00:03:57Z;-11.10090;-48.98220;-999
2022-11-12T00:03:58Z;-13.65460;-56.55250;-999
2022-11-12T00:03:59Z;-34.65440;-66.25310;-999
2022-11-12T00:04:00Z;10.97470;-65.81560;-999
2022-11-12T00:04:02Z;-11.17200;-49.11330;-999
2022-11-12T00:04:04Z;12.30580;-72.89810;-999
2022-11-12T00:04:07Z;-21.49800;-43.95680;-999
2022-11-12T00:04:12Z;-12.64750;-52.63990;-999
2022-11-12T00:04:13Z;4.64720;-53.89760;-999
2022-11-12T00:04:14Z;-18.08730;-44.68150;-999
2022-11-12T00:04:15Z;-21.51300;-43.17460;-999
2022-11-12T00:04:15Z;-22.87550;-44.92910;-999
2022-11-12T00:04:16Z;-33.77360;-65.41620;-999
2022-11-12T00:04:17Z;-34.26090;-65.83940;-999
2022-11-12T00:04:17Z;6.48730;-64.55050;-999
2022-11-12T00:04:21Z;-8.00750;-67.14430;-999
2022-11-12T00:04:21Z;-19.59750;-44.55870;-999
2022-11-12T00:04:22Z;-10.93640;-49.81800;-999
2022-11-12T00:04:25Z;-20.59430;-42.24090;-999
2022-11-12T00:04:28Z;1.79050;-76.06800;-999
2022-11-12T00:04:28Z;-2.31610;-68.89680;-999
2022-11-12T00:04:28Z;-2.34140;-68.92900;-999
2022-11-12T00:04:30Z;4.56840;-53.89360;-999
2022-11-12T00:04:32Z;-11.30870;-50.20440;-999
2022-11-12T00:04:34Z;-3.25570;-60.02260;-999
2022-11-12T00:04:34Z;-3.22480;-60.00990;-999
2022-11-12T00:04:34Z;-2.99550;-59.78120;-999
2022-11-12T00:04:35Z;-12.79960;-47.15480;-999
2022-11-12T00:04:37Z;-4.69960;-69.24850;-999
2022-11-12T00:04:38Z;-11.42630;-49.20480;-999
2022-11-12T00:04:39Z;-11.82630;-49.23790;-999
2022-11-12T00:04:39Z;-11.39420;-49.03900;-999
2022-11-12T00:04:39Z;-14.17220;-57.03700;-999
2022-11-12T00:04:40Z;-38.41880;-58.17250;-999
2022-11-12T00:04:43Z;10.57870;-84.61780;-999
2022-11-12T00:04:44Z;-2.42030;-68.93050;-999
2022-11-12T00:04:45Z;-13.57950;-49.33770;-999
2022-11-12T00:04:46Z;-16.53910;-58.32420;-999
2022-11-12T00:04:46Z;12.34050;-72.89060;-999
2022-11-12T00:04:46Z;11.49160;-73.45470;-999
2022-11-12T00:04:47Z;12.76540;-72.46160;-999
2022-11-12T00:04:47Z;12.89050;-72.37380;-999
2022-11-12T00:04:47Z;-2.26720;-68.81750;-999
2022-11-12T00:04:47Z;11.47780;-73.48010;-999
2022-11-12T00:04:47Z;-2.78420;-69.16060;-999
2022-11-12T00:04:49Z;14.27570;-50.08750;-999
2022-11-12T00:04:51Z;-12.45280;-55.54100;-999
2022-11-12T00:04:52Z;13.09260;-47.43860;-999
2022-11-12T00:04:52Z;13.04960;-47.50320;-999
2022-11-12T00:04:52Z;13.38710;-47.32520;-999
2022-11-12T00:04:52Z;-5.02120;-72.58500;-999
2022-11-12T00:04:53Z;-4.57650;-69.19370;-999
2022-11-12T00:04:53Z;-3.93260;-68.84170;-999
2022-11-12T00:04:53Z;-3.89830;-68.83880;-999
2022-11-12T00:04:53Z;6.89170;-64.13830;-999
2022-11-12T00:04:57Z;-10.44210;-51.21090;-999
2022-11-12T00:04:58Z;-0.25680;-68.56880;-999
2022-11-12T00:04:59Z;-10.97250;-49.85050;-999
2022-11-12T00:05:01Z;-11.17800;-49.79180;-999
2022-11-12T00:05:02Z;-11.00400;-51.65270;-999
2022-11-12T00:05:03Z;-18.46300;-44.54720;-999
2022-11-12T00:05:04Z;-11.17000;-56.05030;-999
2022-11-12T00:05:04Z;3.80540;-53.94680;-999
2022-11-12T00:05:06Z;-33.33300;-65.21460;-999
2022-11-12T00:05:08Z;-6.79460;-46.63290;-999
2022-11-12T00:05:08Z;-21.52590;-42.77200;-999
2022-11-12T00:05:08Z;-4.66530;-72.38030;-999
2022-11-12T00:05:08Z;-5.16250;-72.72060;-999
2022-11-12T00:05:08Z;-12.85410;-47.25720;-999
2022-11-12T00:05:08Z;-11.19820;-51.04250;-999
2022-11-12T00:05:09Z;14.35760;-52.10690;-999
2022-11-12T00:05:10Z;11.51160;-73.40670;-999
2022-11-12T00:05:10Z;11.53430;-73.41420;-999
2022-11-12T00:05:11Z;11.50260;-73.41140;-999
2022-11-12T00:05:13Z;-11.10580;-49.02760;-999
2022-11-12T00:05:18Z;-13.72690;-47.62480;-999
2022-11-12T00:05:18Z;-12.54210;-47.10560;-999
2022-11-12T00:05:19Z;-13.43590;-63.62540;-999
2022-11-12T00:05:19Z;-13.91440;-49.59630;-999
2022-11-12T00:05:19Z;-1.88750;-68.60270;-999
2022-11-12T00:05:20Z;-12.99090;-49.22960;-999
2022-11-12T00:05:20Z;-4.22310;-69.75550;-999
2022-11-12T00:05:23Z;-11.27970;-50.20040;-999
2022-11-12T00:05:25Z;7.02030;-64.08010;-999
2022-11-12T00:05:28Z;-28.69770;-65.14140;-999
2022-11-12T00:05:28Z;6.53990;-64.49100;-999
2022-11-12T00:05:28Z;6.24870;-64.70290;-999
2022-11-12T00:05:28Z;-33.19620;-64.97420;-999
2022-11-12T00:05:32Z;-12.64550;-46.99420;-999
2022-11-12T00:05:32Z;-2.38650;-68.90620;-999
2022-11-12T00:05:32Z;-2.15520;-68.78000;-999
2022-11-12T00:05:32Z;-2.76810;-69.14160;-999
2022-11-12T00:05:33Z;-11.88410;-50.35610;-999
2022-11-12T00:05:35Z;9.03910;-74.35340;-999
2022-11-12T00:05:36Z;-6.64130;-46.52620;-999
2022-11-12T00:05:38Z;-13.72170;-63.77250;-999
2022-11-12T00:05:38Z;-34.98750;-67.02090;-999
2022-11-12T00:05:39Z;-13.71400;-47.60760;-999
2022-11-12T00:05:39Z;-23.69540;-43.54880;-999
2022-11-12T00:05:41Z;-21.28000;-42.66190;-999
2022-11-12T00:05:45Z;-0.11850;-68.21860;-999
2022-11-12T00:05:45Z;-0.61560;-68.54710;-999
2022-11-12T00:05:46Z;-11.90650;-46.77180;-999
2022-11-12T00:05:48Z;-12.36140;-46.79620;-999
2022-11-12T00:05:48Z;11.44350;-73.45750;-999
2022-11-12T00:05:48Z;7.66110;-63.16760;-999
2022-11-12T00:05:48Z;11.42810;-73.46640;-999
2022-11-12T00:05:48Z;11.44060;-73.47660;-999
2022-11-12T00:05:48Z;12.11440;-72.99390;-999
2022-11-12T00:05:50Z;-21.27940;-42.66890;-999
2022-11-12T00:05:51Z;-11.55690;-49.18620;-999
2022-11-12T00:05:51Z;-11.24490;-49.02880;-999
2022-11-12T00:05:53Z;-4.13640;-71.91700;-999
2022-11-12T00:05:56Z;-10.10820;-49.51360;-999
2022-11-12T00:05:56Z;-11.09290;-56.99070;-999
